"Source","Location","Stars","Sentiment","Date","Year","Month","ReviewerName","Title","LocalGuide","LikesCount","Themes","MenuMentions","ReviewText"
"Google","Rohrmoser","1","Negative","2026-04-17","2026","04","AndrÃ© Curione AlÃ­","","True","0","Pricing","","Miren el tamaÃ±o de este pie de limÃ³n. Miniatura. Y costÃ³ 5000 colones , es un robo."
"Google","Rohrmoser","5","Positive","2026-04-07","2026","04","Amalia Klein","","False","0","Menu","Pizza","IncreÃ­ble! Ahora tambiÃ©n hay pizzas - espectaculares! Mi tÃ­a se pidiÃ³ una pizza de burrata y estuvo deliciosa. Ademas andaba una amiga que tiene muchas restricciones alimenticias (gluten, lacteos,â€¦) y es posible ajustar casi todo del menu, ya que preparan todo al momento. Le prestan mucha atenciÃ³n."
"Google","Rohrmoser","5","Positive","2026-03-25","2026","03","Olger Fernando Cortes","","True","0","","",""
"Google","Rohrmoser","5","Positive","2026-03-23","2026","03","Kenneth Rodriguez","","False","0","Food Items","Burger","Don't sleep on the burger. It's one of the best I've ever had."
"Google","Rohrmoser","5","Positive","2026-03-18","2026","03","Florian Welsch","","True","0","Service","","Good restaurant with friendly service and typical and authentic food served. We enjoyed it."
"Google","Rohrmoser","5","Positive","2026-03-18","2026","03","Alenka Marcela Leiva","","True","0","","","Todo estuvo delicioso y el local muy bonito, tambiÃ©n el mesero fue muy amable y atento"
"Google","Rohrmoser","3","Neutral","2026-03-09","2026","03","Steven Vargas","","False","0","Food Items","Tacos","Las porciones para ser un almuerzo son muy pequeÃ±as, comÃ­ unos tacos de pescado y eran normales, dos tortillas y quedÃ© con hambre. Todos los platos de los que estÃ¡bamos en la mesa llegaron a diferentes momentos y estaba con poca afluencia."
"Google","Rohrmoser","5","Positive","2026-02-13","2026","02","Mathilde Polliart","","True","0","Service; Food Items","Burrito","Great experience. Staff are friendly and has great recommendations. Burrito was yummyy"
"Google","Rohrmoser","5","Positive","2026-02-04","2026","02","Christiaan Cokas","","True","0","","","excelente cafÃ© por desayuno y cafÃ©"
"Google","Rohrmoser","5","Positive","2026-02-04","2026","02","Charlotte R.","","True","0","","","TrÃ¨s beau restaurant et personnel adorable.
Cependant, nous avons pris des Å“ufs et la quantitÃ© est trÃ¨s lÃ©gÃ¨re.
Le French Ã©tait trÃ¨s bon!
Merci pour lâ€™accueil !"
"Google","Rohrmoser","4","Positive","2026-01-31","2026","01","Marilyn JÃ¡camo SolÃ­s","","True","0","","","Muy bonito lugar, comida muy rica."
"Google","Rohrmoser","5","Positive","2026-01-15","2026","01","Jennifer campos","","True","0","","",""
"Google","Rohrmoser","5","Positive","2026-01-14","2026","01","Marcus Aurelius","","True","0","","","My wife and I have eaten here twice now and we love it."
"Google","Rohrmoser","4","Positive","2026-01-10","2026","01","Jose Mendez","","True","0","","",""
"Google","Rohrmoser","3","Neutral","2025-12-20","2025","12","Gabriela Fonseca","","True","0","Atmosphere","","La comida no era como se lee en el menÃº, el tÃ© estaba frÃ­o, el capuchino estaba frÃ­o y eran bebidas calientes... Y el """"desayuno"""" por el precio que se pagÃ³, fue mucha decepciÃ³n. El lugar en ambiente es lo Ãºnico rescatable, porque es precioso!!"
"Google","Rohrmoser","5","Positive","2025-12-05","2025","12","Pablo Luis Pernas","","True","0","Live Music","","MÃ¡s que un buen sitio, casi amigos,  aparcamiento, espacio amplio y a veces musica en vivo"
"Google","Rohrmoser","5","Positive","2025-11-30","2025","11","Nicole Chaves","","True","0","Atmosphere; Service; Tourist/Location; Pricing; Slow Service; Menu; Food Items; Portions; Parking","","This place is a hidden gem! We were looking for a spot for breakfast, and it definitely surpassed our expectations. The staff were friendly and attentive, the food arrived quickly, and the portions were generous, well worth the price. It tasted like a home-cooked meal. If you're looking for a great place to eat, be sure to visit them. Itâ€™s absolutely worth it, and I canâ€™t wait to try the rest of the menu! There's no designated parking, but there's plenty of street parking."
"Google","Rohrmoser","5","Positive","2025-11-25","2025","11","Alejandra Dingler","","True","0","","",""
"Google","Rohrmoser","5","Positive","2025-11-14","2025","11","Radim Krejci","","True","0","","",""
"Google","Rohrmoser","4","Positive","2025-10-29","2025","10","Ashley HernÃ¡ndez","","True","0","","",""
"Google","Rohrmoser","5","Positive","2025-10-07","2025","10","Kenneth Perez","","True","0","","",""
"Google","Rohrmoser","4","Positive","2025-09-20","2025","09","Shey HD","","True","0","","",""
"Google","Rohrmoser","5","Positive","2025-09-16","2025","09","Eliza CaCo","","True","0","","",""
"Google","Rohrmoser","5","Positive","2025-09-15","2025","09","Erick Moran","","True","0","","",""
"Google","Rohrmoser","5","Positive","2025-09-09","2025","09","marco camacho","","False","0","","",""
"Google","Rohrmoser","4","Positive","2025-08-29","2025","08","Pablo Arango","","True","0","Atmosphere","","El lugar es precioso sin embargo, la comida no estÃ¡ a la misma altura que el ambiente y las instalaciones , ojalÃ¡ mejorar su sabor en comida."
"Google","Rohrmoser","5","Positive","2025-08-25","2025","08","Javier Cravioto","","True","0","","",""
"Google","Rohrmoser","3","Neutral","2025-08-21","2025","08","Gara Trujillo","","True","0","Atmosphere; Service; Pricing; Food Quality Issue; Food Items; Portions","Burrito","The place is beautiful and the staff are friendly. However, the food is EXTREMELY overpriced. The portions are small, the bread that came with my food was dry/old, and the breakfast burrito was cold. I wouldnâ€™t say the food is bad per se, but when youâ€™re paying almost 20$ for a meal, you definitely expect something better."
"Google","Rohrmoser","5","Positive","2025-08-21","2025","08","Emilio Benacer","","False","0","","",""
"Google","Rohrmoser","4","Positive","2025-08-17","2025","08","Claudio Barreto","","True","0","Atmosphere; Drinks; Tourist/Location","Smoothie; Mango (smoothie/dish)","El lugar tiene un ambiente muy agradable, afuera es algo despreocupado, escoge allÃ­ solo si no lloverÃ¡.
Los visitamos para probar algo dulce y smoothies, siempre buscan mezclar sabores, solicite mango pasiÃ³n, fue necesario pedir quitar las semillas de maracuya, sino imposible.
Pudin y roll bien presentados, estaban ricos.
Precio â‚¡â‚¡ razonable."
