PostUrl,ShortCode,Date,Type,Likes,Comments,Hashtags,Caption
https://www.instagram.com/p/DYf-bB1g4IW/,DYf-bB1g4IW,2026-05-19T00:12:29.000Z,Image,8,0,,
https://www.instagram.com/p/DYf8nErgx-Z/,DYf8nErgx-Z,2026-05-18T23:54:27.000Z,Video,17,0,,
https://www.instagram.com/p/DYVL_qzhT-a/,DYVL_qzhT-a,2026-05-14T19:38:39.000Z,Image,22,0,,
https://www.instagram.com/p/DYKxkhnEc4W/,DYKxkhnEc4W,2026-05-10T18:36:11.000Z,Image,12,0,,"Café y Smoothies 🌈  Verde: aguacate, gengibre, kale, limón, piña 🍍  Pink Lady: pitaya, mango, leche de coco hecha en casa, miel  Mango Passion: maracuyá, mango, cúrcuma, leche de coco, miel🥥"
https://www.instagram.com/p/DYFELLMgAZx/,DYFELLMgAZx,2026-05-08T13:25:29.000Z,Video,25,3,,"Hay momentos especiales que pasan con la comida 💘  🥞 que se derrita la mantequilla  🍳 partir el huevo en el desayuno  🍓 dippear las tostadas francesas en la chantillí 🥖 meter el pan en mi comida favorita  🍫 comerse un brownie de chocolate con mantequilla de maní de Pots  Común denominador = ingredientes maravillosos que van a nutrir el cuerpo. Sin aditivos, ni productos artificiales ❤️ Rohrmoser : 70405717  8am ~ 6pm  Playa Grande: 84925051 7:30am ~ 9pm  Las Catalinas: 85005950 7:30am ~ 8pm"
https://www.instagram.com/p/DX-XwC0AIFf/,DX-XwC0AIFf,2026-05-05T23:03:31.000Z,Image,27,0,,Dessert O’ Clock + Coffee O’ Clock  Banana cake and homemade Peanut Butter and Chocolate Brownie 🍫🥮🍌
https://www.instagram.com/p/DX2kYU8gJZP/,DX2kYU8gJZP,2026-05-02T22:14:04.000Z,Image,17,2,,Taller de Matcha en Playa Grande con @youmatcha__ 💚
https://www.instagram.com/p/DXt9G-YgJ_U/,DXt9G-YgJ_U,2026-04-29T13:56:34.000Z,Sidecar,19,0,,"Benedictinos con Short Rib cocinado por 12 horas con mucho amor ❤️ Recomendando para Des - Ayunar, de las cosas más emocionantes de empezar el día 🌟"
https://www.instagram.com/p/DXjtPwEgJbF/,DXjtPwEgJbF,2026-04-25T14:26:06.000Z,Image,38,0,,Pollo Teriyaki • con salsa teriyaki hecha en casa 🏠❤️  Los esperamos 🪴 Pedidos :  Rohrmoser : 70405717  Playa Grande: 84925051 Las Catalinas: 85005950
https://www.instagram.com/p/DXaBo0kFhFk/,DXaBo0kFhFk,2026-04-21T20:12:13.000Z,Video,23,2,,Costarican Breakfast with L❤️ve ! & a view 🌊  @villaocaso
https://www.instagram.com/p/DXXL4dGAJYp/,DXXL4dGAJYp,2026-04-20T17:43:07.000Z,Sidecar,29,2,,Playa Grande magic 🪄 under the trees 🌳 with full flavor and colorful nutritious food ❤️
https://www.instagram.com/p/DXQPeEwAGxK/,DXQPeEwAGxK,2026-04-18T01:00:39.000Z,Image,16,0,,Fried Chicken & Waffles 🧇 🍗 any • time • of • the • day. With fruits and homemade granola 💘
https://www.instagram.com/p/DXKJi7PgB-n/,DXKJi7PgB-n,2026-04-15T16:15:20.000Z,Image,18,2,,"Amantes de los tacos de camarón 🦐 🙋🏾‍♂️🙋🙋🏻‍♀️  Usamos camarón de cultivo, tortilla palmeada en casa con la masa favorita de @maiz.panchita y ensalada con ingredientes tropicales 🥭🍅🧅🥑"
https://www.instagram.com/p/DW_urCDgNvZ/,DW_urCDgNvZ,2026-04-11T15:05:21.000Z,Sidecar,30,0,,Your favorite drinks and food + your favorite beach and company  🍾🥗🍓🍤 Book your special activity or event : info@blossomgroupcr.com
https://www.instagram.com/p/DW6eUdhkneH/,DW6eUdhkneH,2026-04-09T14:41:14.000Z,Video,14,3,"bestexperiences,puravida,costaricatravel,brunch,sprinklesovercostarica","Travel Tip: Ask a local for their “Top 3”.  This can be a bit challenging, unless I go up to a random stranger in a park or grocery store and risk “stranger danger”. AirBnB makes getting local recommendations a bit more convenient. While talking with a couple staying in the cabin next to us, they mentioned a few places they had discovered in town. At an @airbnb, following recommendations of the host or reading guest book reviews are such good ways to experience the local area! This is how we discovered @potsandbowls in Playa Grande, Costa Rica. Natural, vibrant, fresh ingredients, crafted into perfection! Coffee here was an absolute perfect way to start our morning, a pulled short rib eggs Benedict couldn’t have been a better way to fuel up, presented with sides of fresh cherry tomatoes (I’m not even a fan of tomatoes and I scarfed these down like my life depended on them!) and fried plantain (dare I say - better than hashbrown?), and if their French toast with fresh fruit was any better it would have came with a state fair blue ribbon! This is the kind of experience I want to press the repeat button on and keep living it out like I’m stuck in a movie like Groundhog Day. #bestexperiences #puravida #costaricatravel #brunch #sprinklesovercostarica"
https://www.instagram.com/p/DW2SxZlgCjd/,DW2SxZlgCjd,2026-04-07T23:09:15.000Z,Image,12,0,,De lo favorito de Pots ❤️ llenar la mesa de comida llena de color - mezclar comidas favoritas de brunch - compartirla con las personas favoritas ❤️
https://www.instagram.com/p/DWm0RBNgHUu/,DWm0RBNgHUu,2026-04-01T22:53:46.000Z,Image,16,0,,Para empezar cada comida • Tostadas crispy de atún 🍣🫶🏻
https://www.instagram.com/p/DWgmyj0B14n/,DWgmyj0B14n,2026-03-30T13:00:00.000Z,Video,54,5,"PickleAndPlay,CommunityFirst,CostaRicaLiving,TamarindoLife,HealthySocial","Something we’ve always believed… Great food isn’t just about what’s on the plate,  it’s about how people come together around it. At Pickle & Play, this space was never meant to be just courts… it’s meant to be a place where mornings start slow, where families gather, and where every visit feels like something you want to stay longer for. That’s why choosing the right food & beverage partner mattered so much. We’re so happy to introduce Pots & Bowls 🤍 — bringing fresh, vibrant, feel-good food to the heart of our community. This is just the beginning… #PickleAndPlay #CommunityFirst #CostaRicaLiving #TamarindoLife #HealthySocial"
https://www.instagram.com/p/DWcxAOOgNKr/,DWcxAOOgNKr,2026-03-29T01:15:42.000Z,Video,96,0,,Nos ha tocado ver a Sebas en vivo en Pots Las Catalinas y en Rohrmoser. Con el lugar lleno o vacío SIEMPRE canta con dem amor y pasión y es demasiado emocionante verlo ❤️❤️❤️❤️ Vamos otra vez @sebasguillem ❤️❤️❤️❤️ Que sigas brillando siempre !!! Gracias por lo que sos y tu música 🥺❤️ Felicidades !!!  Y ojalá volver a tenerlo cantando en algún Pots otra vez 😜😍
https://www.instagram.com/p/DWZbZdCkREq/,DWZbZdCkREq,2026-03-27T18:05:47.000Z,Sidecar,36,0,,Mojito O’Clock 🍓 with Dani ❤️
https://www.instagram.com/p/DWPAg7gAH_G/,DWPAg7gAH_G,2026-03-23T16:59:19.000Z,Image,20,0,,Coconut Pacankes 🥞 🥥 Gluten friendly and full of flavor 🍓 🍌 🍯  Rohrmoser : 70405717  8am ~ 6pm  Playa Grande: 84925051 7:30am ~ 9pm  Las Catalinas: 85005950 7:30am ~ 8pm
