"Priority","Category","Location","Insight","Action"
"High","Pricing","All","Pricing is the #1 weakness (3.86 avg stars, 108 mentions). Customers feel value is not commensurate with cost.","Introduce a visible ""value menu"" or lunch special. Add portion size indicators on menu to set expectations."
"High","Service","LasCatalinas","Las Catalinas Google rating (4.16★) is significantly lower than TripAdvisor (4.77★), suggesting service inconsistency on-location vs curated reviews.","Audit Las Catalinas staff training. Mystery diner visit recommended. Focus on friendliness and attentiveness."
"High","SlowService","All","Slow Service has 3.77 avg stars (22 mentions). Wait time complaints correlate with negative reviews across all locations.","Implement kitchen timing targets. Add table pagers or SMS notification for large orders. Review peak-hour staffing."
"High","FoodQuality","Rohrmoser","Rohrmoser Google (4.23★) lags behind TripAdvisor (4.74★) and Playa Grande (4.58★). Food quality complaints skew Rohrmoser down.","Conduct Rohrmoser-specific menu quality review. Check ingredient freshness protocols. Retrain kitchen on presentation standards."
"Medium","HealthyFresh","All","HealthyFresh is top-rated theme (4.83★, 83 mentions) — customers love the healthy positioning. Underutilized in marketing.","Feature ""fresh & healthy"" messaging prominently on Instagram. Create story highlights for ingredient sourcing and preparation."
"Medium","RepeatVisit","All","RepeatVisit theme averages 4.67★ (67 mentions) — strong loyalty signal. But no formal loyalty program exists.","Launch a loyalty stamp card or app-based rewards. ""10th bowl free"" or similar simple program to capture repeat visitors."
"Medium","GiftStore","All","Gift Store mentions average 4.86★ (28 mentions) — highest rated touchpoint. Customers love it but it's rarely mentioned.","Feature the gift store more on Instagram. Create gift bundles. Promote as a gifting destination for the holidays."
"Medium","Atmosphere","Playa Grande","Playa Grande Atmosphere scores 4.84★ — the strongest differentiator. Tourists specifically praise the beach/town vibe.","Amplify Playa Grande atmosphere in content. Use for brand videos. Promote as a destination experience, not just a meal stop."
"Low","AllergyIncident","All","Allergy incidents (7 mentions, 3.71★) are low volume but high-risk. Each incident can go viral and damage brand trust.","Implement strict allergen labeling. Train all staff on top 8 allergens. Add allergen filter to digital menu."
"Low","Instagram","All","3,299 Instagram comments collected. Giveaway posts drive 10x comments. Community engagement is strong but inconsistent.","Run 1 giveaway per quarter minimum. Respond to comments within 24h. Use comment themes to identify product demand signals."
